episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
119,9,1,0,0,0,2.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,8,0,0,3.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,50,0,0,4.0,0,1.9,0,0,0,0,0,0,0,0,0,0,61,0,0,3.0,0,8.9,0,0,0,0,0,0,0,0,0,0
120,0,92,2,0,9,9.5,0,7.9,6,7,8,2,6,8,4,7,4,0,49,0,9,9.5,0,0.9,3,8,5,5,9,4,8,3,2,0,45,1,9,9.5,0,4.9,7,2,6,3,7,7,7,5,8,0,100,0,9,9.0,1,-0.2,7,3,7,10,8,8,1,8,5,0,90,1,9,9.5,0,9.9,2,4,7,7,10,6,1,3,8,0
120,1,75,0,0,8,9.0,0,-0.2,7,8,2,6,8,4,7,4,0,0,49,0,8,8.5,1,-0.2,8,5,5,9,4,8,3,2,0,0,45,1,8,8.5,1,6.8,2,6,3,7,7,7,5,8,0,0,100,0,8,8.0,1,-0.2,3,7,10,8,8,1,8,5,0,0,88,1,8,9.0,0,1.9,4,7,7,10,6,1,3,8,0,0
120,2,65,0,1,7,8.5,0,-0.2,8,2,6,8,4,7,4,0,0,0,49,0,7,7.5,1,-0.2,5,5,9,4,8,3,2,0,0,0,45,1,7,7.5,1,1.8,6,3,7,7,7,5,8,0,0,0,97,1,7,7.5,0,2.9,7,10,8,8,1,8,5,0,0,0,84,1,7,8.5,0,3.9,7,7,10,6,1,3,8,0,0,0
120,3,45,0,1,6,7.5,1,0.0,2,6,8,4,7,4,0,0,0,0,49,0,6,6.5,1,-0.2,5,9,4,8,3,2,0,0,0,0,39,1,6,7.0,0,5.9,3,7,7,7,5,8,0,0,0,0,90,0,6,7.0,0,6.9,10,8,8,1,8,5,0,0,0,0,84,1,6,7.5,1,6.8,7,10,6,1,3,8,0,0,0,0
120,4,33,0,1,5,6.5,1,0.0,6,8,4,7,4,0,0,0,0,0,44,0,5,6.0,0,4.9,9,4,8,3,2,0,0,0,0,0,36,1,5,6.5,0,2.9,7,7,7,5,8,0,0,0,0,0,90,0,5,6.0,1,-0.2,8,8,1,8,5,0,0,0,0,0,77,1,5,7.0,0,6.9,10,6,1,3,8,0,0,0,0,0
120,5,27,0,1,4,5.5,1,0.0,8,4,7,4,0,0,0,0,0,0,35,0,4,5.5,0,8.9,4,8,3,2,0,0,0,0,0,0,29,1,4,6.0,0,6.9,7,7,5,8,0,0,0,0,0,0,82,0,4,5.5,0,7.9,8,1,8,5,0,0,0,0,0,0,67,1,4,6.5,0,9.9,6,1,3,8,0,0,0,0,0,0
120,6,9,0,1,3,4.5,1,0.0,4,7,4,0,0,0,0,0,0,0,35,0,3,4.5,1,-0.2,8,3,2,0,0,0,0,0,0,0,22,1,3,5.5,0,6.9,7,5,8,0,0,0,0,0,0,0,74,0,3,5.0,0,7.9,1,8,5,0,0,0,0,0,0,0,67,1,3,5.5,1,5.8,1,3,8,0,0,0,0,0,0,0
120,7,5,0,1,2,3.5,1,0.0,7,4,0,0,0,0,0,0,0,0,27,0,2,4.0,0,7.9,3,2,0,0,0,0,0,0,0,0,15,1,2,5.0,0,6.9,5,8,0,0,0,0,0,0,0,0,73,0,2,4.5,0,0.9,8,5,0,0,0,0,0,0,0,0,66,1,2,5.0,0,0.9,3,8,0,0,0,0,0,0,0,0
120,8,0,0,1,1,2.5,1,0.0,4,0,0,0,0,0,0,0,0,0,24,0,1,3.5,0,2.9,2,0,0,0,0,0,0,0,0,0,15,0,1,4.0,1,0.0,8,0,0,0,0,0,0,0,0,0,65,0,1,4.0,0,7.9,5,0,0,0,0,0,0,0,0,0,63,1,1,4.5,0,2.9,8,0,0,0,0,0,0,0,0,0
120,9,0,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,22,0,0,3.0,0,1.9,0,0,0,0,0,0,0,0,0,0,7,0,0,3.5,0,7.9,0,0,0,0,0,0,0,0,0,0,60,0,0,3.5,0,4.9,0,0,0,0,0,0,0,0,0,0,55,1,0,4.0,0,7.9,0,0,0,0,0,0,0,0,0,0
121,0,91,5,1,9,9.5,0,4.9,2,10,5,5,1,9,10,2,4,0,45,1,9,9.5,0,4.9,4,7,5,3,5,7,1,10,9,0,45,1,9,9.5,0,4.9,2,8,3,8,4,1,6,2,4,0,99,1,9,9.5,0,0.9,5,6,9,9,4,4,2,3,1,0,100,0,9,9.0,1,-0.2,8,9,6,6,2,10,1,9,2,0
121,1,85,5,1,8,8.5,1,1.8,10,5,5,1,9,10,2,4,0,0,45,1,8,8.5,1,3.8,7,5,3,5,7,1,10,9,0,0,43,1,8,9.0,0,1.9,8,3,8,4,1,6,2,4,0,0,94,1,8,9.0,0,4.9,6,9,9,4,4,2,3,1,0,0,92,1,8,8.5,0,7.9,9,6,6,2,10,1,9,2,0,0
121,2,64,0,1,7,8.0,0,-0.2,5,5,1,9,10,2,4,0,0,0,45,0,7,7.5,1,6.8,5,3,5,7,1,10,9,0,0,0,43,1,7,8.0,1,7.8,3,8,4,1,6,2,4,0,0,0,94,1,7,8.0,1,5.8,9,9,4,4,2,3,1,0,0,0,83,1,7,8.0,0,8.9,6,6,2,10,1,9,2,0,0,0
121,3,61,0,1,6,7.5,0,-0.2,5,1,9,10,2,4,0,0,0,0,40,0,6,7.0,0,4.9,3,5,7,1,10,9,0,0,0,0,43,1,6,7.0,1,2.8,8,4,1,6,2,4,0,0,0,0,85,1,6,7.5,0,8.9,9,4,4,2,3,1,0,0,0,0,77,1,6,7.5,0,5.9,6,2,10,1,9,2,0,0,0,0
121,4,52,0,1,5,7.0,0,-0.2,1,9,10,2,4,0,0,0,0,0,37,0,5,6.5,0,2.9,5,7,1,10,9,0,0,0,0,0,35,1,5,6.5,0,7.9,4,1,6,2,4,0,0,0,0,0,85,1,5,6.5,1,8.8,4,4,2,3,1,0,0,0,0,0,71,1,5,7.0,0,5.9,2,10,1,9,2,0,0,0,0,0
121,5,39,0,1,4,6.5,0,-0.2,9,10,2,4,0,0,0,0,0,0,37,0,4,5.5,1,-0.2,7,1,10,9,0,0,0,0,0,0,35,1,4,5.5,1,3.8,1,6,2,4,0,0,0,0,0,0,85,1,4,5.5,1,3.8,4,2,3,1,0,0,0,0,0,0,69,1,4,6.5,0,1.9,10,1,9,2,0,0,0,0,0,0
121,6,25,0,1,3,6.0,0,-0.2,10,2,4,0,0,0,0,0,0,0,30,0,3,5.0,0,6.9,1,10,9,0,0,0,0,0,0,0,34,1,3,5.0,0,0.9,6,2,4,0,0,0,0,0,0,0,85,1,3,4.5,1,3.8,2,3,1,0,0,0,0,0,0,0,69,1,3,5.5,1,9.8,1,9,2,0,0,0,0,0,0,0
121,7,14,0,1,2,5.0,1,0.0,2,4,0,0,0,0,0,0,0,0,30,0,2,4.0,1,-0.2,10,9,0,0,0,0,0,0,0,0,28,1,2,4.5,0,5.9,2,4,0,0,0,0,0,0,0,0,83,1,2,4.0,0,1.9,3,1,0,0,0,0,0,0,0,0,68,1,2,5.0,0,0.9,9,2,0,0,0,0,0,0,0,0
121,8,1,0,1,1,4.0,1,0.0,4,0,0,0,0,0,0,0,0,0,20,0,1,3.5,0,9.9,9,0,0,0,0,0,0,0,0,0,28,0,1,3.5,1,1.8,4,0,0,0,0,0,0,0,0,0,80,1,1,3.5,0,2.9,1,0,0,0,0,0,0,0,0,0,68,1,1,4.0,1,8.8,2,0,0,0,0,0,0,0,0,0
121,9,0,0,1,0,3.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,11,0,0,3.0,0,8.9,0,0,0,0,0,0,0,0,0,0,28,1,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,79,0,0,3.0,0,0.9,0,0,0,0,0,0,0,0,0,0,66,0,0,3.5,0,1.9,0,0,0,0,0,0,0,0,0,0
122,0,100,6,1,9,9.5,0,3.9,6,4,8,5,2,1,3,1,1,0,49,0,9,9.5,0,0.9,3,10,6,1,7,10,7,6,4,0,46,1,9,9.5,0,3.9,2,4,10,6,1,7,6,3,5,0,98,1,9,9.5,0,1.9,9,6,6,6,10,7,5,6,10,0,99,1,9,9.5,0,0.9,3,4,4,6,8,9,6,6,4,0
122,1,100,0,1,8,9.0,0,5.9,4,8,5,2,1,3,1,1,0,0,46,0,8,9.0,0,2.9,10,6,1,7,10,7,6,4,0,0,44,1,8,9.0,0,1.9,4,10,6,1,7,6,3,5,0,0,89,1,8,9.0,0,8.9,6,6,6,10,7,5,6,10,0,0,96,1,8,9.0,0,2.9,4,4,6,8,9,6,6,4,0,0
122,2,90,0,1,7,8.5,0,-0.2,8,5,2,1,3,1,1,0,0,0,36,0,7,8.5,0,9.9,6,1,7,10,7,6,4,0,0,0,44,1,7,8.0,1,3.8,10,6,1,7,6,3,5,0,0,0,89,1,7,8.0,1,5.8,6,6,10,7,5,6,10,0,0,0,92,1,7,8.5,0,3.9,4,6,8,9,6,6,4,0,0,0
122,3,80,0,1,6,8.0,0,-0.2,5,2,1,3,1,1,0,0,0,0,30,0,6,8.0,0,5.9,1,7,10,7,6,4,0,0,0,0,44,1,6,7.0,1,9.8,6,1,7,6,3,5,0,0,0,0,83,1,6,7.5,0,5.9,6,10,7,5,6,10,0,0,0,0,88,1,6,8.0,0,3.9,6,8,9,6,6,4,0,0,0,0
122,4,80,0,1,5,7.5,0,-0.2,2,1,3,1,1,0,0,0,0,0,29,1,5,7.5,0,0.9,7,10,7,6,4,0,0,0,0,0,38,1,5,6.5,0,5.9,1,7,6,3,5,0,0,0,0,0,77,1,5,7.0,0,5.9,10,7,5,6,10,0,0,0,0,0,82,1,5,7.5,0,5.9,8,9,6,6,4,0,0,0,0,0
122,5,71,0,1,4,6.5,1,0.0,1,3,1,1,0,0,0,0,0,0,29,1,4,6.5,1,6.8,10,7,6,4,0,0,0,0,0,0,37,1,4,6.0,0,0.9,7,6,3,5,0,0,0,0,0,0,67,0,4,6.5,0,9.9,7,5,6,10,0,0,0,0,0,0,74,1,4,7.0,0,7.9,9,6,6,4,0,0,0,0,0,0
122,6,70,0,1,3,5.5,1,0.0,3,1,1,0,0,0,0,0,0,0,19,1,3,6.0,0,9.9,7,6,4,0,0,0,0,0,0,0,30,1,3,5.5,0,6.9,6,3,5,0,0,0,0,0,0,0,60,0,3,6.0,0,6.9,5,6,10,0,0,0,0,0,0,0,65,1,3,6.5,0,8.9,6,6,4,0,0,0,0,0,0,0
122,7,67,0,1,2,4.5,1,0.0,1,1,0,0,0,0,0,0,0,0,12,1,2,5.5,0,6.9,6,4,0,0,0,0,0,0,0,0,24,1,2,5.0,0,5.9,3,5,0,0,0,0,0,0,0,0,55,0,2,5.5,0,4.9,6,10,0,0,0,0,0,0,0,0,59,1,2,6.0,0,5.9,6,4,0,0,0,0,0,0,0,0
122,8,67,0,1,1,4.0,0,-0.2,1,0,0,0,0,0,0,0,0,0,6,1,1,5.0,0,5.9,4,0,0,0,0,0,0,0,0,0,21,1,1,4.5,0,2.9,5,0,0,0,0,0,0,0,0,0,49,0,1,5.0,0,5.9,10,0,0,0,0,0,0,0,0,0,53,1,1,5.5,0,5.9,4,0,0,0,0,0,0,0,0,0
122,9,66,0,1,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0,4.5,0,3.9,0,0,0,0,0,0,0,0,0,0,16,1,0,4.0,0,4.9,0,0,0,0,0,0,0,0,0,0,39,0,0,4.5,0,9.9,0,0,0,0,0,0,0,0,0,0,49,1,0,5.0,0,3.9,0,0,0,0,0,0,0,0,0,0
123,0,86,0,1,9,9.5,0,9.9,3,8,5,9,2,8,8,2,2,0,40,1,9,9.5,0,9.9,5,3,4,3,6,8,3,8,10,0,42,1,9,9.5,0,7.9,6,1,7,6,1,10,5,8,7,0,100,1,9,9.0,1,8.8,3,1,2,8,5,2,4,7,3,0,100,0,9,9.0,1,-0.2,1,5,2,4,8,4,2,6,2,0
123,1,77,0,1,8,8.5,1,0.0,8,5,9,2,8,8,2,2,0,0,35,1,8,9.0,0,4.9,3,4,3,6,8,3,8,10,0,0,42,1,8,8.5,1,5.8,1,7,6,1,10,5,8,7,0,0,97,0,8,8.5,0,2.9,1,2,8,5,2,4,7,3,0,0,99,0,8,8.5,0,0.9,5,2,4,8,4,2,6,2,0,0
123,2,76,0,1,7,8.0,0,-0.2,5,9,2,8,8,2,2,0,0,0,32,1,7,8.5,0,2.9,4,3,6,8,3,8,10,0,0,0,41,1,7,8.0,0,0.9,7,6,1,10,5,8,7,0,0,0,97,0,7,7.5,1,-0.2,2,8,5,2,4,7,3,0,0,0,94,0,7,8.0,0,4.9,2,4,8,4,2,6,2,0,0,0
123,3,71,0,1,6,7.0,1,0.0,9,2,8,8,2,2,0,0,0,0,28,1,6,8.0,0,3.9,3,6,8,3,8,10,0,0,0,0,34,1,6,7.5,0,6.9,6,1,10,5,8,7,0,0,0,0,95,1,6,7.0,0,1.9,8,5,2,4,7,3,0,0,0,0,92,0,6,7.5,0,1.9,4,8,4,2,6,2,0,0,0,0
123,4,54,0,1,5,6.0,1,0.0,2,8,8,2,2,0,0,0,0,0,25,1,5,7.5,0,2.9,6,8,3,8,10,0,0,0,0,0,28,1,5,7.0,0,5.9,1,10,5,8,7,0,0,0,0,0,95,0,5,6.0,1,7.8,5,2,4,7,3,0,0,0,0,0,88,1,5,7.0,0,3.9,8,4,2,6,2,0,0,0,0,0
123,5,53,0,1,4,5.5,0,-0.2,8,8,2,2,0,0,0,0,0,0,19,1,4,7.0,0,5.9,8,3,8,10,0,0,0,0,0,0,28,1,4,6.0,1,0.8,10,5,8,7,0,0,0,0,0,0,90,0,4,5.5,0,4.9,2,4,7,3,0,0,0,0,0,0,80,1,4,6.5,0,7.9,4,2,6,2,0,0,0,0,0,0
123,6,45,0,1,3,4.5,1,0.0,8,2,2,0,0,0,0,0,0,0,11,1,3,6.5,0,7.9,3,8,10,0,0,0,0,0,0,0,18,1,3,5.5,0,9.9,5,8,7,0,0,0,0,0,0,0,88,0,3,5.0,0,1.9,4,7,3,0,0,0,0,0,0,0,76,1,3,6.0,0,3.9,2,6,2,0,0,0,0,0,0,0
123,7,32,0,1,2,3.5,1,0.0,2,2,0,0,0,0,0,0,0,0,8,1,2,6.0,0,2.9,8,10,0,0,0,0,0,0,0,0,18,1,2,4.5,1,4.8,8,7,0,0,0,0,0,0,0,0,84,0,2,4.5,0,3.9,7,3,0,0,0,0,0,0,0,0,74,1,2,5.5,0,1.9,6,2,0,0,0,0,0,0,0,0
123,8,22,0,1,1,2.5,1,0.0,2,0,0,0,0,0,0,0,0,0,0,1,1,5.5,0,7.9,10,0,0,0,0,0,0,0,0,0,18,1,1,3.5,1,7.8,7,0,0,0,0,0,0,0,0,0,77,0,1,4.0,0,6.9,3,0,0,0,0,0,0,0,0,0,68,1,1,5.0,0,5.9,2,0,0,0,0,0,0,0,0,0
123,9,3,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5,1,0.0,0,0,0,0,0,0,0,0,0,0,18,1,0,2.5,1,6.8,0,0,0,0,0,0,0,0,0,0,74,1,0,3.5,0,2.9,0,0,0,0,0,0,0,0,0,0,66,1,0,4.5,0,1.9,0,0,0,0,0,0,0,0,0,0
124,0,97,0,1,9,9.5,0,9.9,9,4,6,6,1,2,5,10,9,0,50,0,9,9.0,1,-0.2,6,2,6,4,6,1,1,1,8,0,49,1,9,9.5,0,0.9,5,6,2,9,4,7,5,8,5,0,100,0,9,9.0,1,-0.2,5,4,7,1,3,5,3,1,7,0,92,1,9,9.5,0,7.9,4,8,3,9,5,10,3,5,5,0
124,1,86,0,1,8,9.0,0,-0.2,4,6,6,1,2,5,10,9,0,0,50,0,8,8.0,1,-0.2,2,6,4,6,1,1,1,8,0,0,49,1,8,8.5,1,4.8,6,2,9,4,7,5,8,5,0,0,95,0,8,8.5,0,4.9,4,7,1,3,5,3,1,7,0,0,88,1,8,9.0,0,3.9,8,3,9,5,10,3,5,5,0,0
124,2,84,0,1,7,8.5,0,-0.2,6,6,1,2,5,10,9,0,0,0,50,0,7,7.0,1,-0.2,6,4,6,1,1,1,8,0,0,0,43,0,7,8.0,0,5.9,2,9,4,7,5,8,5,0,0,0,91,0,7,8.0,0,3.9,7,1,3,5,3,1,7,0,0,0,80,1,7,8.5,0,7.9,3,9,5,10,3,5,5,0,0,0
124,3,76,0,1,6,7.5,1,0.0,6,1,2,5,10,9,0,0,0,0,44,0,6,6.5,0,5.9,4,6,1,1,1,8,0,0,0,0,43,0,6,7.0,1,-0.2,9,4,7,5,8,5,0,0,0,0,84,0,6,7.5,0,6.9,1,3,5,3,1,7,0,0,0,0,77,0,6,8.0,0,2.9,9,5,10,3,5,5,0,0,0,0
124,4,61,0,1,5,6.5,1,0.0,1,2,5,10,9,0,0,0,0,0,40,1,5,6.0,0,3.9,6,1,1,1,8,0,0,0,0,0,34,0,5,6.5,0,8.9,4,7,5,8,5,0,0,0,0,0,83,0,5,7.0,0,0.9,3,5,3,1,7,0,0,0,0,0,77,1,5,7.0,1,-0.2,5,10,3,5,5,0,0,0,0,0
124,5,60,0,1,4,5.5,1,0.0,2,5,10,9,0,0,0,0,0,0,34,1,4,5.5,0,5.9,1,1,1,8,0,0,0,0,0,0,30,0,4,6.0,0,3.9,7,5,8,5,0,0,0,0,0,0,80,0,4,6.5,0,2.9,5,3,1,7,0,0,0,0,0,0,72,1,4,6.5,0,4.9,10,3,5,5,0,0,0,0,0,0
124,6,57,0,1,3,4.5,1,0.0,5,10,9,0,0,0,0,0,0,0,34,1,3,4.5,1,0.8,1,1,8,0,0,0,0,0,0,0,23,0,3,5.5,0,6.9,5,8,5,0,0,0,0,0,0,0,75,0,3,6.0,0,4.9,3,1,7,0,0,0,0,0,0,0,62,1,3,6.0,0,9.9,3,5,5,0,0,0,0,0,0,0
124,7,51,0,1,2,3.5,1,0.0,10,9,0,0,0,0,0,0,0,0,34,1,2,3.5,1,0.8,1,8,0,0,0,0,0,0,0,0,18,0,2,5.0,0,4.9,8,5,0,0,0,0,0,0,0,0,72,1,2,5.5,0,2.9,1,7,0,0,0,0,0,0,0,0,59,1,2,5.5,0,2.9,5,5,0,0,0,0,0,0,0,0
124,8,36,0,1,1,2.5,1,0.0,9,0,0,0,0,0,0,0,0,0,33,1,1,3.0,0,0.9,8,0,0,0,0,0,0,0,0,0,10,0,1,4.5,0,7.9,5,0,0,0,0,0,0,0,0,0,71,1,1,5.0,0,0.9,7,0,0,0,0,0,0,0,0,0,59,1,1,4.5,1,4.8,5,0,0,0,0,0,0,0,0,0
124,9,27,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,25,0,0,2.5,0,7.9,0,0,0,0,0,0,0,0,0,0,5,1,0,4.0,0,4.9,0,0,0,0,0,0,0,0,0,0,64,1,0,4.5,0,6.9,0,0,0,0,0,0,0,0,0,0,54,1,0,4.0,0,4.9,0,0,0,0,0,0,0,0,0,0
125,0,100,8,0,9,9.5,0,1.9,5,6,5,7,3,9,2,2,7,0,43,1,9,9.5,0,6.9,10,3,2,7,2,7,5,1,5,0,40,1,9,9.5,0,9.9,5,1,6,7,6,4,6,7,10,0,98,1,9,9.5,0,1.9,2,5,10,9,2,2,1,7,9,0,90,1,9,9.5,0,9.9,5,5,9,5,5,1,2,4,9,0
125,1,100,3,0,8,9.0,0,4.9,6,5,7,3,9,2,2,7,0,0,33,1,8,9.0,0,9.9,3,2,7,2,7,5,1,5,0,0,35,1,8,9.0,0,4.9,1,6,7,6,4,6,7,10,0,0,96,1,8,9.0,0,1.9,5,10,9,2,2,1,7,9,0,0,85,1,8,9.0,0,4.9,5,9,5,5,1,2,4,9,0,0
125,2,92,0,0,7,8.5,0,-0.2,5,7,3,9,2,2,7,0,0,0,33,1,7,8.0,1,2.8,2,7,2,7,5,1,5,0,0,0,34,0,7,8.5,0,0.9,6,7,6,4,6,7,10,0,0,0,91,1,7,8.5,0,4.9,10,9,2,2,1,7,9,0,0,0,85,0,7,8.0,1,4.8,9,5,5,1,2,4,9,0,0,0
125,3,87,0,0,6,7.5,1,-0.2,7,3,9,2,2,7,0,0,0,0,31,1,6,7.5,0,1.9,7,2,7,5,1,5,0,0,0,0,28,0,6,8.0,0,5.9,7,6,4,6,7,10,0,0,0,0,81,1,6,8.0,0,9.9,9,2,2,1,7,9,0,0,0,0,76,1,6,7.5,0,8.9,5,5,1,2,4,9,0,0,0,0
125,4,71,0,1,5,6.5,1,-0.2,3,9,2,2,7,0,0,0,0,0,24,1,5,7.0,0,6.9,2,7,5,1,5,0,0,0,0,0,21,0,5,7.5,0,6.9,6,4,6,7,10,0,0,0,0,0,81,1,5,7.0,1,8.8,2,2,1,7,9,0,0,0,0,0,71,0,5,7.0,0,4.9,5,1,2,4,9,0,0,0,0,0
125,5,71,0,0,4,6.0,0,-0.2,9,2,2,7,0,0,0,0,0,0,22,1,4,6.5,0,1.9,7,5,1,5,0,0,0,0,0,0,15,0,4,7.0,0,5.9,4,6,7,10,0,0,0,0,0,0,79,1,4,6.5,0,1.9,2,1,7,9,0,0,0,0,0,0,66,0,4,6.5,0,4.9,1,2,4,9,0,0,0,0,0,0
125,6,62,0,0,3,5.0,1,-0.2,2,2,7,0,0,0,0,0,0,0,15,0,3,6.0,0,6.9,5,1,5,0,0,0,0,0,0,0,11,0,3,6.5,0,3.9,6,7,10,0,0,0,0,0,0,0,77,1,3,6.0,0,1.9,1,7,9,0,0,0,0,0,0,0,65,0,3,6.0,0,0.9,2,4,9,0,0,0,0,0,0,0
125,7,47,0,0,2,4.0,1,-0.2,2,7,0,0,0,0,0,0,0,0,15,0,2,5.0,1,-0.2,1,5,0,0,0,0,0,0,0,0,11,0,2,5.5,1,-0.2,7,10,0,0,0,0,0,0,0,0,76,1,2,5.5,0,0.9,7,9,0,0,0,0,0,0,0,0,65,0,2,5.0,1,-0.2,4,9,0,0,0,0,0,0,0,0
125,8,37,0,0,1,3.0,1,-0.2,7,0,0,0,0,0,0,0,0,0,15,0,1,4.0,1,-0.2,5,0,0,0,0,0,0,0,0,0,4,0,1,5.0,0,6.9,10,0,0,0,0,0,0,0,0,0,76,1,1,4.5,1,6.8,9,0,0,0,0,0,0,0,0,0,61,0,1,4.5,0,3.9,9,0,0,0,0,0,0,0,0,0
125,9,16,0,0,0,2.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,15,0,0,3.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,76,1,0,3.5,1,8.8,0,0,0,0,0,0,0,0,0,0,52,0,0,4.0,0,8.9,0,0,0,0,0,0,0,0,0,0
126,0,90,10,0,9,9.0,1,-0.2,8,7,1,3,10,3,9,8,8,0,41,1,9,9.5,0,8.9,3,5,9,7,10,7,5,5,7,0,41,1,9,9.5,0,8.9,4,8,10,9,7,1,1,4,3,0,100,1,9,9.0,1,3.8,7,4,6,8,2,1,5,3,2,0,91,1,9,9.5,0,8.9,9,9,5,7,5,10,9,2,5,0
126,1,66,10,0,8,8.0,1,-0.2,7,1,3,10,3,9,8,8,0,0,38,1,8,9.0,0,2.9,5,9,7,10,7,5,5,7,0,0,37,1,8,9.0,0,3.9,8,10,9,7,1,1,4,3,0,0,100,1,8,8.0,1,6.8,4,6,8,2,1,5,3,2,0,0,91,1,8,8.5,1,8.8,9,5,7,5,10,9,2,5,0,0
126,2,66,3,0,7,7.5,0,6.9,1,3,10,3,9,8,8,0,0,0,33,1,7,8.5,0,4.9,9,7,10,7,5,5,7,0,0,0,29,1,7,8.5,0,7.9,10,9,7,1,1,4,3,0,0,0,96,0,7,7.5,0,3.9,6,8,2,1,5,3,2,0,0,0,82,1,7,8.0,0,8.9,5,7,5,10,9,2,5,0,0,0
126,3,59,3,0,6,6.5,1,-0.2,3,10,3,9,8,8,0,0,0,0,24,1,6,8.0,0,8.9,7,10,7,5,5,7,0,0,0,0,19,1,6,8.0,0,9.9,9,7,1,1,4,3,0,0,0,0,96,0,6,6.5,1,-0.2,8,2,1,5,3,2,0,0,0,0,77,1,6,7.5,0,4.9,7,5,10,9,2,5,0,0,0,0
126,4,59,0,0,5,6.0,0,2.9,10,3,9,8,8,0,0,0,0,0,17,1,5,7.5,0,6.9,10,7,5,5,7,0,0,0,0,0,10,1,5,7.5,0,8.9,7,1,1,4,3,0,0,0,0,0,88,0,5,6.0,0,7.9,2,1,5,3,2,0,0,0,0,0,70,0,5,7.0,0,6.9,5,10,9,2,5,0,0,0,0,0
126,5,44,0,0,4,5.0,1,-0.2,3,9,8,8,0,0,0,0,0,0,7,1,4,7.0,0,9.9,7,5,5,7,0,0,0,0,0,0,3,1,4,7.0,0,6.9,1,1,4,3,0,0,0,0,0,0,86,0,4,5.5,0,1.9,1,5,3,2,0,0,0,0,0,0,70,1,4,6.0,1,-0.2,10,9,2,5,0,0,0,0,0,0
126,6,36,0,0,3,4.5,0,-0.2,9,8,8,0,0,0,0,0,0,0,7,1,3,6.0,1,6.8,5,5,7,0,0,0,0,0,0,0,2,1,3,6.5,0,0.9,1,4,3,0,0,0,0,0,0,0,86,0,3,4.5,1,-0.2,5,3,2,0,0,0,0,0,0,0,60,1,3,5.5,0,9.9,9,2,5,0,0,0,0,0,0,0
126,7,17,0,0,2,3.5,1,-0.2,8,8,0,0,0,0,0,0,0,0,2,1,2,5.5,0,4.9,5,7,0,0,0,0,0,0,0,0,2,1,2,5.5,1,0.8,4,3,0,0,0,0,0,0,0,0,81,1,2,4.0,0,4.9,3,2,0,0,0,0,0,0,0,0,60,0,2,4.5,1,8.8,2,5,0,0,0,0,0,0,0,0
